Electricity_Access,Internet_Usage,GDP_Per_Capita,School_Enrollment,Life_Expectancy,Urban_Population,Country Code,Short Name,Region
91.25833333333333,12.750000000000002,1319.4433276782831,34.8587690844081,65.57616666666668,36.15991666666667,PAK,Pakistan,"Middle East, North Africa, Afghanistan & Pakistan"
91.72499999999998,54.13333333333335,13382.027953540965,77.23666934969665,77.31808333333333,66.89883333333333,PAN,Panama,Latin America & Caribbean
93.28333333333335,48.06666666666666,6418.893961691306,98.52941004435219,74.61708333333333,77.45266666666667,PER,Peru,Latin America & Caribbean
91.21666666666665,39.80833333333334,2918.6672264468907,86.29907497059408,69.24408333333332,46.42925,PHL,Philippines,East Asia & Pacific
99.48333333333333,43.35000000000001,14017.537140915223,115.64231300354017,68.85408333333334,78.33924999999999,PLW,Palau,East Asia & Pacific
18.575,10.425454545454544,2461.030795979521,40.7726459503174,64.34800000000001,13.112583333333333,PNG,Papua New Guinea,East Asia & Pacific
100.0,71.64999999999999,14395.08770838088,107.86091105143208,77.05040650406504,60.33600000000001,POL,Poland,Europe & Central Asia
100.0,67.41818181818182,29518.36489207557,89.44081211090086,79.95858333333334,93.65008333333333,PRI,Puerto Rico (US),Latin America & Caribbean
40.99166666666667,0.0,5593.212626633314,95.9569625854492,72.30425,61.43083333333334,PRK,"Korea, Democratic People’s Republic of",East Asia & Pacific
100.0,68.24999999999999,22060.240076815415,115.45672798156751,80.92459349593497,63.76425,PRT,Portugal,Europe & Central Asia
98.95,50.208333333333336,5876.2727504228305,79.23455634725313,72.80533333333334,60.886833333333335,PRY,Paraguay,Latin America & Caribbean
99.91666666666667,57.94166666666666,3310.3537555089074,87.91336504618327,74.35758333333334,75.52841666666667,PSE,West Bank and Gaza,"Middle East, North Africa, Afghanistan & Pakistan"
100.0,59.2625,21294.058112153667,91.34852915102624,82.01950000000001,61.57116666666667,PYF,French Polynesia,East Asia & Pacific
100.0,89.02500000000002,78624.34820365919,100.55745887756355,81.32058333333333,98.94391666666667,QAT,Qatar,"Middle East, North Africa, Afghanistan & Pakistan"
98.875,59.6,10757.711059104757,91.99730873107909,74.63455284552846,53.99399999999999,ROU,Romania,Europe & Central Asia
99.425,72.28333333333335,12014.318766276041,96.11502144553442,71.01591463414634,74.18641666666666,RUS,Russian Federation,Europe & Central Asia
28.150000000000002,14.643333333333333,732.7789681058767,39.011038173328764,65.36233333333334,17.119833333333332,RWA,Rwanda,Sub-Saharan Africa
99.98333333333333,74.44166666666668,26516.595912911624,102.59990776909719,77.31216666666667,83.29275000000001,SAU,Saudi Arabia,"Middle East, North Africa, Afghanistan & Pakistan"
49.074999999999996,21.919999999999998,1007.8835601806646,45.274238162570526,64.34216666666667,34.13725,SDN,Sudan,Sub-Saharan Africa
61.90833333333333,27.141666666666666,1378.3585919361442,46.174232059054916,66.29441666666668,46.12366666666667,SEN,Senegal,Sub-Saharan Africa
100.0,82.325,59949.60192181383,107.12529962678802,82.68638211382114,100.0,SGP,Singapore,East Asia & Pacific
56.099999999999994,16.108333333333334,2069.629737265462,48.10658009847007,69.23800000000001,22.590083333333336,SLB,Solomon Islands,East Asia & Pacific
20.099999999999998,9.273333333333332,885.7699411255822,47.106031417846665,56.23083333333332,41.061749999999996,SLE,Sierra Leone,Sub-Saharan Africa
95.68333333333334,33.60833333333334,3831.0113674275085,68.82103665669761,71.00425000000001,69.97341666666667,SLV,El Salvador,Latin America & Caribbean
100.0,67.47999999999999,49002.53882974212,81.49282773930825,84.21116666666667,96.76958333333334,SMR,San Marino,Europe & Central Asia
51.04166666666666,3.3,430.1492903764725,5.46022449075409,52.191,43.45941666666667,SOM,Somalia,Sub-Saharan Africa
99.86666666666667,63.324999999999996,7057.400868887558,94.75913429260252,74.9859756097561,55.792750000000005,SRB,Serbia,Europe & Central Asia
4.841666666666666,4.52125,1338.2643870572263,10.889630317687999,51.15558333333334,19.055583333333335,SSD,South Sudan,Sub-Saharan Africa
68.99166666666666,32.483333333333334,1577.294321056709,72.59471409268575,66.18433333333333,70.38825,STP,São Tomé and Principe,Sub-Saharan Africa
95.79166666666667,48.03333333333333,7207.009206780617,71.76123979356554,70.59508333333333,66.14308333333332,SUR,Suriname,Latin America & Caribbean
100.0,80.54166666666667,18461.717532975574,92.56058692932129,76.47601626016261,54.00050000000001,SVK,Slovak Republic,Europe & Central Asia
100.0,76.33333333333333,24141.04061930254,108.23358217875165,80.66768292682927,53.96,SVN,Slovenia,Europe & Central Asia
100.0,92.45833333333333,55600.27541950895,128.67623647054026,82.26422764227642,86.67174999999999,SWE,Sweden,Europe & Central Asia
65.70833333333333,31.28333333333333,3849.87858608251,73.74250902448382,54.92441666666665,23.40675,SWZ,Eswatini,Sub-Saharan Africa
100.0,53.275000000000006,32221.14525085325,96.54323514302565,75.34383333333334,100.0,SXM,Sint Maarten (Dutch part),Latin America & Caribbean
99.28333333333335,60.35833333333332,15114.843664109243,94.17986106872564,73.91443089430895,55.62516666666667,SYC,Seychelles,Sub-Saharan Africa
89.825,28.49,1285.505124929795,58.324843088785805,68.28783333333332,53.90408333333334,SYR,Syrian Arab Republic,"Middle East, North Africa, Afghanistan & Pakistan"
99.375,53.275000000000006,25458.725064788352,85.81080815917645,77.26816666666667,92.22883333333334,TCA,Turks and Caicos Islands,Latin America & Caribbean
9.016666666666667,5.236666666666667,1062.7955546794096,22.920932596380055,51.66216666666667,22.7075,TCD,Chad,Sub-Saharan Africa
45.675000000000004,12.251666666666667,810.0399892510304,59.740904490152964,59.418416666666666,40.39575,TGO,Togo,Sub-Saharan Africa
99.675,46.89166666666667,6214.678453332434,104.9642530824873,76.48233333333333,48.05925,THA,Thailand,East Asia & Pacific
99.1083333333333,21.139999999999997,887.0491033244325,86.75548282702938,69.62858333333332,26.923333333333336,TJK,Tajikistan,Europe & Central Asia
99.95833333333333,11.4125,6059.306191890621,88.78176879882811,69.05641666666666,50.60883333333334,TKM,Turkmenistan,Europe & Central Asia
71.95,19.091666666666665,1351.906998689579,75.54184742725849,65.37199999999999,29.686916666666665,TLS,Timor-Leste,East Asia & Pacific
96.77499999999999,35.800000000000004,4284.389885653886,98.83815744265023,71.87591666666667,23.257,TON,Tonga,East Asia & Pacific
99.79166666666667,66.37499999999999,18527.857321183958,96.54323514302565,72.524,53.42491666666667,TTO,Trinidad and Tobago,Latin America & Caribbean
99.79166666666667,52.225,3994.408468377261,87.47546895345052,74.74091666666668,68.23158333333333,TUN,Tunisia,"Middle East, North Africa, Afghanistan & Pakistan"
100.0,58.84166666666667,10688.499902234727,103.72332827250169,76.29758333333332,73.80375,TUR,Türkiye,Europe & Central Asia
98.23333333333335,34.66666666666667,4091.0896531093917,82.54895564488004,65.50341666666667,60.026999999999994,TUV,Tuvalu,East Asia & Pacific
27.541666666666668,10.695833333333335,966.8509216308603,29.676050307841727,64.07291666666666,31.997083333333332,TZA,Tanzania,Sub-Saharan Africa
27.46666666666667,5.922222222222222,824.3679867828919,25.89353555445934,63.852250000000005,22.39075,UGA,Uganda,Sub-Saharan Africa
99.99166666666667,51.85,3321.1940714518246,91.3892027537028,72.31141666666666,69.13008333333333,UKR,Ukraine,Europe & Central Asia
99.69166666666665,67.50000000000001,17101.328611810703,110.47751871744781,77.1035,95.07166666666667,URY,Uruguay,Latin America & Caribbean
100.0,80.61666666666666,58126.08631439336,98.8363520304362,78.33434959349593,81.78833333333334,USA,United States,North America
99.85833333333335,44.333333333333336,2260.317004380121,91.81903168996571,71.16133333333333,50.721666666666664,UZB,Uzbekistan,Europe & Central Asia
